id_lancamento,data_pagamento,codigo_conta,conta,grupo_dre,tipo,categoria_dre,centro_custo,documento_origem,valor
F0004858,2024-06-03,4.01.005,CMV - Químicos,Custos dos Produtos Vendidos,Despesa,CMV,CC-QUÍ,V002429,2695.65
F0004859,2024-06-03,3.01.005,Receita de Vendas - Químicos,Receitas Operacionais,Receita,Faturamento de Vendas,CC-QUÍ,V002430,504.06
F0004860,2024-06-03,4.01.005,CMV - Químicos,Custos dos Produtos Vendidos,Despesa,CMV,CC-QUÍ,V002430,283.65
F0004861,2024-06-03,3.01.003,Receita de Vendas - Eletrônicos,Receitas Operacionais,Receita,Faturamento de Vendas,CC-ELE,V002431,6177.6
F0004862,2024-06-03,4.01.003,CMV - Eletrônicos,Custos dos Produtos Vendidos,Despesa,CMV,CC-ELE,V002431,3512.8
F0004863,2024-06-03,3.01.005,Receita de Vendas - Químicos,Receitas Operacionais,Receita,Faturamento de Vendas,CC-QUÍ,V002432,4716.45
F0004864,2024-06-03,4.01.005,CMV - Químicos,Custos dos Produtos Vendidos,Despesa,CMV,CC-QUÍ,V002432,2694.15
F0004865,2024-06-03,3.01.005,Receita de Vendas - Químicos,Receitas Operacionais,Receita,Faturamento de Vendas,CC-QUÍ,V002433,2795.1
F0004866,2024-06-03,4.01.005,CMV - Químicos,Custos dos Produtos Vendidos,Despesa,CMV,CC-QUÍ,V002433,1687.29
F0004867,2024-06-04,3.01.004,Receita de Vendas - Embalagens,Receitas Operacionais,Receita,Faturamento de Vendas,CC-EMB,V002434,12364.11
F0004868,2024-06-04,4.01.004,CMV - Embalagens,Custos dos Produtos Vendidos,Despesa,CMV,CC-EMB,V002434,6425.73
F0004869,2024-06-04,3.01.002,Receita de Vendas - Plásticos,Receitas Operacionais,Receita,Faturamento de Vendas,CC-PLÁ,V002435,4514.4
F0004870,2024-06-04,4.01.002,CMV - Plásticos,Custos dos Produtos Vendidos,Despesa,CMV,CC-PLÁ,V002435,2096.64
F0004871,2024-06-04,3.01.003,Receita de Vendas - Eletrônicos,Receitas Operacionais,Receita,Faturamento de Vendas,CC-ELE,V002436,385.28
F0004872,2024-06-04,4.01.003,CMV - Eletrônicos,Custos dos Produtos Vendidos,Despesa,CMV,CC-ELE,V002436,196.32
F0004873,2024-06-04,3.01.003,Receita de Vendas - Eletrônicos,Receitas Operacionais,Receita,Faturamento de Vendas,CC-ELE,V002437,966.69
F0004874,2024-06-04,4.01.003,CMV - Eletrônicos,Custos dos Produtos Vendidos,Despesa,CMV,CC-ELE,V002437,552.92
F0004875,2024-06-04,3.01.003,Receita de Vendas - Eletrônicos,Receitas Operacionais,Receita,Faturamento de Vendas,CC-ELE,V002438,9093.84
F0004876,2024-06-04,4.01.003,CMV - Eletrônicos,Custos dos Produtos Vendidos,Despesa,CMV,CC-ELE,V002438,5586.84
F0004877,2024-06-04,3.01.004,Receita de Vendas - Embalagens,Receitas Operacionais,Receita,Faturamento de Vendas,CC-EMB,V002439,1427.37
F0004878,2024-06-04,4.01.004,CMV - Embalagens,Custos dos Produtos Vendidos,Despesa,CMV,CC-EMB,V002439,847.21
F0004879,2024-06-04,3.01.002,Receita de Vendas - Plásticos,Receitas Operacionais,Receita,Faturamento de Vendas,CC-PLÁ,V002440,1159.71
F0004880,2024-06-04,4.01.002,CMV - Plásticos,Custos dos Produtos Vendidos,Despesa,CMV,CC-PLÁ,V002440,670.48
F0004881,2024-06-04,3.01.004,Receita de Vendas - Embalagens,Receitas Operacionais,Receita,Faturamento de Vendas,CC-EMB,V002441,1158.2
F0004882,2024-06-04,4.01.004,CMV - Embalagens,Custos dos Produtos Vendidos,Despesa,CMV,CC-EMB,V002441,574.8
F0004883,2024-06-04,3.01.002,Receita de Vendas - Plásticos,Receitas Operacionais,Receita,Faturamento de Vendas,CC-PLÁ,V002442,4144.16
F0004884,2024-06-04,4.01.002,CMV - Plásticos,Custos dos Produtos Vendidos,Despesa,CMV,CC-PLÁ,V002442,2144.32
F0004885,2024-06-04,3.01.005,Receita de Vendas - Químicos,Receitas Operacionais,Receita,Faturamento de Vendas,CC-QUÍ,V002443,492.49
F0004886,2024-06-04,4.01.005,CMV - Químicos,Custos dos Produtos Vendidos,Despesa,CMV,CC-QUÍ,V002443,294.1
F0004887,2024-06-04,3.01.004,Receita de Vendas - Embalagens,Receitas Operacionais,Receita,Faturamento de Vendas,CC-EMB,V002444,2530.4
F0004888,2024-06-04,4.01.004,CMV - Embalagens,Custos dos Produtos Vendidos,Despesa,CMV,CC-EMB,V002444,1398.08
F0004889,2024-06-04,3.01.004,Receita de Vendas - Embalagens,Receitas Operacionais,Receita,Faturamento de Vendas,CC-EMB,V002445,6627.58
F0004890,2024-06-04,4.01.004,CMV - Embalagens,Custos dos Produtos Vendidos,Despesa,CMV,CC-EMB,V002445,3248.62
F0004891,2024-06-04,3.01.003,Receita de Vendas - Eletrônicos,Receitas Operacionais,Receita,Faturamento de Vendas,CC-ELE,V002446,191.44
F0004892,2024-06-04,4.01.003,CMV - Eletrônicos,Custos dos Produtos Vendidos,Despesa,CMV,CC-ELE,V002446,107.04
F0004893,2024-06-04,3.01.001,Receita de Vendas - Metalmecânica,Receitas Operacionais,Receita,Faturamento de Vendas,CC-MET,V002447,12168.36
F0004894,2024-06-04,4.01.001,CMV - Metalmecânica,Custos dos Produtos Vendidos,Despesa,CMV,CC-MET,V002447,7700.7
F0004895,2024-06-04,3.01.004,Receita de Vendas - Embalagens,Receitas Operacionais,Receita,Faturamento de Vendas,CC-EMB,V002448,6011.98
F0004896,2024-06-04,4.01.004,CMV - Embalagens,Custos dos Produtos Vendidos,Despesa,CMV,CC-EMB,V002448,3629.38
F0004897,2024-06-04,3.01.002,Receita de Vendas - Plásticos,Receitas Operacionais,Receita,Faturamento de Vendas,CC-PLÁ,V002449,7667.89
F0004898,2024-06-04,4.01.002,CMV - Plásticos,Custos dos Produtos Vendidos,Despesa,CMV,CC-PLÁ,V002449,4424.24
F0004899,2024-06-04,3.01.002,Receita de Vendas - Plásticos,Receitas Operacionais,Receita,Faturamento de Vendas,CC-PLÁ,V002450,16709.96
F0004900,2024-06-04,4.01.002,CMV - Plásticos,Custos dos Produtos Vendidos,Despesa,CMV,CC-PLÁ,V002450,8305.78
F0004901,2024-06-04,3.01.002,Receita de Vendas - Plásticos,Receitas Operacionais,Receita,Faturamento de Vendas,CC-PLÁ,V002451,7716.96
F0004902,2024-06-04,4.01.002,CMV - Plásticos,Custos dos Produtos Vendidos,Despesa,CMV,CC-PLÁ,V002451,3654.36
F0004903,2024-06-04,3.01.001,Receita de Vendas - Metalmecânica,Receitas Operacionais,Receita,Faturamento de Vendas,CC-MET,V002452,364.26
F0004904,2024-06-04,4.01.001,CMV - Metalmecânica,Custos dos Produtos Vendidos,Despesa,CMV,CC-MET,V002452,208.0
F0004905,2024-06-04,3.01.004,Receita de Vendas - Embalagens,Receitas Operacionais,Receita,Faturamento de Vendas,CC-EMB,V002453,8104.02
F0004906,2024-06-04,4.01.004,CMV - Embalagens,Custos dos Produtos Vendidos,Despesa,CMV,CC-EMB,V002453,4011.09
F0004907,2024-06-04,3.01.002,Receita de Vendas - Plásticos,Receitas Operacionais,Receita,Faturamento de Vendas,CC-PLÁ,V002454,5346.44
F0004908,2024-06-04,4.01.002,CMV - Plásticos,Custos dos Produtos Vendidos,Despesa,CMV,CC-PLÁ,V002454,3001.24
F0004909,2024-06-04,3.01.002,Receita de Vendas - Plásticos,Receitas Operacionais,Receita,Faturamento de Vendas,CC-PLÁ,V002455,2482.56
F0004910,2024-06-04,4.01.002,CMV - Plásticos,Custos dos Produtos Vendidos,Despesa,CMV,CC-PLÁ,V002455,1449.6
F0004911,2024-06-04,3.01.001,Receita de Vendas - Metalmecânica,Receitas Operacionais,Receita,Faturamento de Vendas,CC-MET,V002456,6030.75
F0004912,2024-06-04,4.01.001,CMV - Metalmecânica,Custos dos Produtos Vendidos,Despesa,CMV,CC-MET,V002456,3897.42
F0004913,2024-06-04,3.01.002,Receita de Vendas - Plásticos,Receitas Operacionais,Receita,Faturamento de Vendas,CC-PLÁ,V002457,5139.9
F0004914,2024-06-04,4.01.002,CMV - Plásticos,Custos dos Produtos Vendidos,Despesa,CMV,CC-PLÁ,V002457,2682.15
F0004915,2024-06-04,3.01.005,Receita de Vendas - Químicos,Receitas Operacionais,Receita,Faturamento de Vendas,CC-QUÍ,V002458,2194.38
F0004916,2024-06-04,4.01.005,CMV - Químicos,Custos dos Produtos Vendidos,Despesa,CMV,CC-QUÍ,V002458,1256.22
F0004917,2024-06-05,3.01.002,Receita de Vendas - Plásticos,Receitas Operacionais,Receita,Faturamento de Vendas,CC-PLÁ,V002459,331.24
F0004918,2024-06-05,4.01.002,CMV - Plásticos,Custos dos Produtos Vendidos,Despesa,CMV,CC-PLÁ,V002459,192.36
F0004919,2024-06-05,3.01.002,Receita de Vendas - Plásticos,Receitas Operacionais,Receita,Faturamento de Vendas,CC-PLÁ,V002460,1241.28
F0004920,2024-06-05,4.01.002,CMV - Plásticos,Custos dos Produtos Vendidos,Despesa,CMV,CC-PLÁ,V002460,724.8
F0004921,2024-06-05,3.01.002,Receita de Vendas - Plásticos,Receitas Operacionais,Receita,Faturamento de Vendas,CC-PLÁ,V002461,2621.4
F0004922,2024-06-05,4.01.002,CMV - Plásticos,Custos dos Produtos Vendidos,Despesa,CMV,CC-PLÁ,V002461,1303.2
F0004923,2024-06-05,3.01.004,Receita de Vendas - Embalagens,Receitas Operacionais,Receita,Faturamento de Vendas,CC-EMB,V002462,245.3
F0004924,2024-06-05,4.01.004,CMV - Embalagens,Custos dos Produtos Vendidos,Despesa,CMV,CC-EMB,V002462,138.55
F0004925,2024-06-05,3.01.004,Receita de Vendas - Embalagens,Receitas Operacionais,Receita,Faturamento de Vendas,CC-EMB,V002463,1782.73
F0004926,2024-06-05,4.01.004,CMV - Embalagens,Custos dos Produtos Vendidos,Despesa,CMV,CC-EMB,V002463,1048.8
F0004927,2024-06-05,3.01.003,Receita de Vendas - Eletrônicos,Receitas Operacionais,Receita,Faturamento de Vendas,CC-ELE,V002464,378.27
F0004928,2024-06-05,4.01.003,CMV - Eletrônicos,Custos dos Produtos Vendidos,Despesa,CMV,CC-ELE,V002464,216.36
F0004929,2024-06-05,3.01.003,Receita de Vendas - Eletrônicos,Receitas Operacionais,Receita,Faturamento de Vendas,CC-ELE,V002465,836.94
F0004930,2024-06-05,4.01.003,CMV - Eletrônicos,Custos dos Produtos Vendidos,Despesa,CMV,CC-ELE,V002465,539.69
F0004931,2024-06-05,3.01.001,Receita de Vendas - Metalmecânica,Receitas Operacionais,Receita,Faturamento de Vendas,CC-MET,V002466,2263.04
F0004932,2024-06-05,4.01.001,CMV - Metalmecânica,Custos dos Produtos Vendidos,Despesa,CMV,CC-MET,V002466,1406.72
F0004933,2024-06-05,3.01.001,Receita de Vendas - Metalmecânica,Receitas Operacionais,Receita,Faturamento de Vendas,CC-MET,V002467,736.92
F0004934,2024-06-05,4.01.001,CMV - Metalmecânica,Custos dos Produtos Vendidos,Despesa,CMV,CC-MET,V002467,405.26
F0004935,2024-06-05,3.01.003,Receita de Vendas - Eletrônicos,Receitas Operacionais,Receita,Faturamento de Vendas,CC-ELE,V002468,766.26
F0004936,2024-06-05,4.01.003,CMV - Eletrônicos,Custos dos Produtos Vendidos,Despesa,CMV,CC-ELE,V002468,482.46
F0004937,2024-06-05,3.01.004,Receita de Vendas - Embalagens,Receitas Operacionais,Receita,Faturamento de Vendas,CC-EMB,V002469,809.84
F0004938,2024-06-05,4.01.004,CMV - Embalagens,Custos dos Produtos Vendidos,Despesa,CMV,CC-EMB,V002469,458.24
F0004939,2024-06-05,3.01.005,Receita de Vendas - Químicos,Receitas Operacionais,Receita,Faturamento de Vendas,CC-QUÍ,V002470,1052.4
F0004940,2024-06-05,4.01.005,CMV - Químicos,Custos dos Produtos Vendidos,Despesa,CMV,CC-QUÍ,V002470,574.6
F0004941,2024-06-05,3.01.005,Receita de Vendas - Químicos,Receitas Operacionais,Receita,Faturamento de Vendas,CC-QUÍ,V002471,528.64
F0004942,2024-06-05,4.01.005,CMV - Químicos,Custos dos Produtos Vendidos,Despesa,CMV,CC-QUÍ,V002471,278.04
F0004943,2024-06-05,3.01.004,Receita de Vendas - Embalagens,Receitas Operacionais,Receita,Faturamento de Vendas,CC-EMB,V002472,1141.92
F0004944,2024-06-05,4.01.004,CMV - Embalagens,Custos dos Produtos Vendidos,Despesa,CMV,CC-EMB,V002472,615.42
F0004945,2024-06-05,3.01.002,Receita de Vendas - Plásticos,Receitas Operacionais,Receita,Faturamento de Vendas,CC-PLÁ,V002473,1168.46
F0004946,2024-06-05,4.01.002,CMV - Plásticos,Custos dos Produtos Vendidos,Despesa,CMV,CC-PLÁ,V002473,580.53
F0004947,2024-06-05,3.01.002,Receita de Vendas - Plásticos,Receitas Operacionais,Receita,Faturamento de Vendas,CC-PLÁ,V002474,3719.6
F0004948,2024-06-05,4.01.002,CMV - Plásticos,Custos dos Produtos Vendidos,Despesa,CMV,CC-PLÁ,V002474,2229.38
F0004949,2024-06-05,3.01.003,Receita de Vendas - Eletrônicos,Receitas Operacionais,Receita,Faturamento de Vendas,CC-ELE,V002475,1278.97
F0004950,2024-06-05,4.01.003,CMV - Eletrônicos,Custos dos Produtos Vendidos,Despesa,CMV,CC-ELE,V002475,738.76
F0004951,2024-06-06,3.01.002,Receita de Vendas - Plásticos,Receitas Operacionais,Receita,Faturamento de Vendas,CC-PLÁ,V002476,841.32
F0004952,2024-06-06,4.01.002,CMV - Plásticos,Custos dos Produtos Vendidos,Despesa,CMV,CC-PLÁ,V002476,380.0
F0004953,2024-06-06,3.01.002,Receita de Vendas - Plásticos,Receitas Operacionais,Receita,Faturamento de Vendas,CC-PLÁ,V002477,448.98
F0004954,2024-06-06,4.01.002,CMV - Plásticos,Custos dos Produtos Vendidos,Despesa,CMV,CC-PLÁ,V002477,205.68
F0004955,2024-06-06,3.01.003,Receita de Vendas - Eletrônicos,Receitas Operacionais,Receita,Faturamento de Vendas,CC-ELE,V002478,5691.21
F0004956,2024-06-06,4.01.003,CMV - Eletrônicos,Custos dos Produtos Vendidos,Despesa,CMV,CC-ELE,V002478,3505.09
F0004957,2024-06-06,3.01.001,Receita de Vendas - Metalmecânica,Receitas Operacionais,Receita,Faturamento de Vendas,CC-MET,V002479,17093.43
F0004958,2024-06-06,4.01.001,CMV - Metalmecânica,Custos dos Produtos Vendidos,Despesa,CMV,CC-MET,V002479,7833.02
F0004959,2024-06-06,3.01.005,Receita de Vendas - Químicos,Receitas Operacionais,Receita,Faturamento de Vendas,CC-QUÍ,V002480,661.3
F0004960,2024-06-06,4.01.005,CMV - Químicos,Custos dos Produtos Vendidos,Despesa,CMV,CC-QUÍ,V002480,312.12
F0004961,2024-06-06,3.01.004,Receita de Vendas - Embalagens,Receitas Operacionais,Receita,Faturamento de Vendas,CC-EMB,V002481,3610.08
F0004962,2024-06-06,4.01.004,CMV - Embalagens,Custos dos Produtos Vendidos,Despesa,CMV,CC-EMB,V002481,2071.8
F0004963,2024-06-06,3.01.004,Receita de Vendas - Embalagens,Receitas Operacionais,Receita,Faturamento de Vendas,CC-EMB,V002482,5853.77
F0004964,2024-06-06,4.01.004,CMV - Embalagens,Custos dos Produtos Vendidos,Despesa,CMV,CC-EMB,V002482,3533.87
F0004965,2024-06-06,3.01.005,Receita de Vendas - Químicos,Receitas Operacionais,Receita,Faturamento de Vendas,CC-QUÍ,V002483,1011.16
F0004966,2024-06-06,4.01.005,CMV - Químicos,Custos dos Produtos Vendidos,Despesa,CMV,CC-QUÍ,V002483,474.64
F0004967,2024-06-06,3.01.003,Receita de Vendas - Eletrônicos,Receitas Operacionais,Receita,Faturamento de Vendas,CC-ELE,V002484,4650.8
F0004968,2024-06-06,4.01.003,CMV - Eletrônicos,Custos dos Produtos Vendidos,Despesa,CMV,CC-ELE,V002484,2686.4
F0004969,2024-06-06,3.01.002,Receita de Vendas - Plásticos,Receitas Operacionais,Receita,Faturamento de Vendas,CC-PLÁ,V002485,3762.0
F0004970,2024-06-06,4.01.002,CMV - Plásticos,Custos dos Produtos Vendidos,Despesa,CMV,CC-PLÁ,V002485,1747.2
F0004971,2024-06-06,3.01.002,Receita de Vendas - Plásticos,Receitas Operacionais,Receita,Faturamento de Vendas,CC-PLÁ,V002486,2942.76
F0004972,2024-06-06,4.01.002,CMV - Plásticos,Custos dos Produtos Vendidos,Despesa,CMV,CC-PLÁ,V002486,1785.36
F0004973,2024-06-06,3.01.001,Receita de Vendas - Metalmecânica,Receitas Operacionais,Receita,Faturamento de Vendas,CC-MET,V002487,2880.36
F0004974,2024-06-06,4.01.001,CMV - Metalmecânica,Custos dos Produtos Vendidos,Despesa,CMV,CC-MET,V002487,1568.49
F0004975,2024-06-06,3.01.001,Receita de Vendas - Metalmecânica,Receitas Operacionais,Receita,Faturamento de Vendas,CC-MET,V002488,8161.6
F0004976,2024-06-06,4.01.001,CMV - Metalmecânica,Custos dos Produtos Vendidos,Despesa,CMV,CC-MET,V002488,4406.4
F0004977,2024-06-06,3.01.003,Receita de Vendas - Eletrônicos,Receitas Operacionais,Receita,Faturamento de Vendas,CC-ELE,V002489,1115.87
F0004978,2024-06-06,4.01.003,CMV - Eletrônicos,Custos dos Produtos Vendidos,Despesa,CMV,CC-ELE,V002489,523.45
F0004979,2024-06-06,3.01.004,Receita de Vendas - Embalagens,Receitas Operacionais,Receita,Faturamento de Vendas,CC-EMB,V002490,2625.63
F0004980,2024-06-06,4.01.004,CMV - Embalagens,Custos dos Produtos Vendidos,Despesa,CMV,CC-EMB,V002490,1597.47
F0004981,2024-06-06,3.01.003,Receita de Vendas - Eletrônicos,Receitas Operacionais,Receita,Faturamento de Vendas,CC-ELE,V002491,219.6
F0004982,2024-06-06,4.01.003,CMV - Eletrônicos,Custos dos Produtos Vendidos,Despesa,CMV,CC-ELE,V002491,109.62
F0004983,2024-06-06,3.01.003,Receita de Vendas - Eletrônicos,Receitas Operacionais,Receita,Faturamento de Vendas,CC-ELE,V002492,695.78
F0004984,2024-06-06,4.01.003,CMV - Eletrônicos,Custos dos Produtos Vendidos,Despesa,CMV,CC-ELE,V002492,359.1
F0004985,2024-06-06,3.01.005,Receita de Vendas - Químicos,Receitas Operacionais,Receita,Faturamento de Vendas,CC-QUÍ,V002493,19434.5
F0004986,2024-06-06,4.01.005,CMV - Químicos,Custos dos Produtos Vendidos,Despesa,CMV,CC-QUÍ,V002493,10981.08
F0004987,2024-06-06,3.01.005,Receita de Vendas - Químicos,Receitas Operacionais,Receita,Faturamento de Vendas,CC-QUÍ,V002494,130.98
F0004988,2024-06-06,4.01.005,CMV - Químicos,Custos dos Produtos Vendidos,Despesa,CMV,CC-QUÍ,V002494,78.96
F0004989,2024-06-06,3.01.004,Receita de Vendas - Embalagens,Receitas Operacionais,Receita,Faturamento de Vendas,CC-EMB,V002495,1852.0
F0004990,2024-06-06,4.01.004,CMV - Embalagens,Custos dos Produtos Vendidos,Despesa,CMV,CC-EMB,V002495,916.16
F0004991,2024-06-06,3.01.005,Receita de Vendas - Químicos,Receitas Operacionais,Receita,Faturamento de Vendas,CC-QUÍ,V002496,475.84
F0004992,2024-06-06,4.01.005,CMV - Químicos,Custos dos Produtos Vendidos,Despesa,CMV,CC-QUÍ,V002496,223.36
F0004993,2024-06-06,3.01.005,Receita de Vendas - Químicos,Receitas Operacionais,Receita,Faturamento de Vendas,CC-QUÍ,V002497,8517.6
F0004994,2024-06-06,4.01.005,CMV - Químicos,Custos dos Produtos Vendidos,Despesa,CMV,CC-QUÍ,V002497,5446.56
F0004995,2024-06-07,3.01.005,Receita de Vendas - Químicos,Receitas Operacionais,Receita,Faturamento de Vendas,CC-QUÍ,V002498,663.74
F0004996,2024-06-07,4.01.005,CMV - Químicos,Custos dos Produtos Vendidos,Despesa,CMV,CC-QUÍ,V002498,321.86
F0004997,2024-06-07,3.01.003,Receita de Vendas - Eletrônicos,Receitas Operacionais,Receita,Faturamento de Vendas,CC-ELE,V002499,10090.18
F0004998,2024-06-07,4.01.003,CMV - Eletrônicos,Custos dos Produtos Vendidos,Despesa,CMV,CC-ELE,V002499,6019.7
F0004999,2024-06-07,3.01.005,Receita de Vendas - Químicos,Receitas Operacionais,Receita,Faturamento de Vendas,CC-QUÍ,V002500,4476.81
F0005000,2024-06-07,4.01.005,CMV - Químicos,Custos dos Produtos Vendidos,Despesa,CMV,CC-QUÍ,V002500,2015.52
F0005001,2024-06-07,3.01.002,Receita de Vendas - Plásticos,Receitas Operacionais,Receita,Faturamento de Vendas,CC-PLÁ,V002501,110.36
F0005002,2024-06-07,4.01.002,CMV - Plásticos,Custos dos Produtos Vendidos,Despesa,CMV,CC-PLÁ,V002501,67.88
F0005003,2024-06-07,3.01.004,Receita de Vendas - Embalagens,Receitas Operacionais,Receita,Faturamento de Vendas,CC-EMB,V002502,2760.67
F0005004,2024-06-07,4.01.004,CMV - Embalagens,Custos dos Produtos Vendidos,Despesa,CMV,CC-EMB,V002502,1541.76
F0005005,2024-06-07,3.01.005,Receita de Vendas - Químicos,Receitas Operacionais,Receita,Faturamento de Vendas,CC-QUÍ,V002503,12030.65
F0005006,2024-06-07,4.01.005,CMV - Químicos,Custos dos Produtos Vendidos,Despesa,CMV,CC-QUÍ,V002503,6021.27
F0005007,2024-06-07,3.01.003,Receita de Vendas - Eletrônicos,Receitas Operacionais,Receita,Faturamento de Vendas,CC-ELE,V002504,35.96
F0005008,2024-06-07,4.01.003,CMV - Eletrônicos,Custos dos Produtos Vendidos,Despesa,CMV,CC-ELE,V002504,19.38
F0005009,2024-06-07,3.01.004,Receita de Vendas - Embalagens,Receitas Operacionais,Receita,Faturamento de Vendas,CC-EMB,V002505,1650.72
F0005010,2024-06-07,4.01.004,CMV - Embalagens,Custos dos Produtos Vendidos,Despesa,CMV,CC-EMB,V002505,878.08
F0005011,2024-06-07,3.01.003,Receita de Vendas - Eletrônicos,Receitas Operacionais,Receita,Faturamento de Vendas,CC-ELE,V002506,5149.95
F0005012,2024-06-07,4.01.003,CMV - Eletrônicos,Custos dos Produtos Vendidos,Despesa,CMV,CC-ELE,V002506,3212.82
F0005013,2024-06-07,3.01.003,Receita de Vendas - Eletrônicos,Receitas Operacionais,Receita,Faturamento de Vendas,CC-ELE,V002507,3407.82
F0005014,2024-06-07,4.01.003,CMV - Eletrônicos,Custos dos Produtos Vendidos,Despesa,CMV,CC-ELE,V002507,2135.77
F0005015,2024-06-07,3.01.003,Receita de Vendas - Eletrônicos,Receitas Operacionais,Receita,Faturamento de Vendas,CC-ELE,V002508,4155.47
F0005016,2024-06-07,4.01.003,CMV - Eletrônicos,Custos dos Produtos Vendidos,Despesa,CMV,CC-ELE,V002508,2419.06
F0005017,2024-06-07,3.01.001,Receita de Vendas - Metalmecânica,Receitas Operacionais,Receita,Faturamento de Vendas,CC-MET,V002509,1696.94
F0005018,2024-06-07,4.01.001,CMV - Metalmecânica,Custos dos Produtos Vendidos,Despesa,CMV,CC-MET,V002509,996.37
F0005019,2024-06-07,3.01.005,Receita de Vendas - Químicos,Receitas Operacionais,Receita,Faturamento de Vendas,CC-QUÍ,V002510,2636.34
F0005020,2024-06-07,4.01.005,CMV - Químicos,Custos dos Produtos Vendidos,Despesa,CMV,CC-QUÍ,V002510,1607.97
F0005021,2024-06-07,3.01.002,Receita de Vendas - Plásticos,Receitas Operacionais,Receita,Faturamento de Vendas,CC-PLÁ,V002511,1595.88
F0005022,2024-06-07,4.01.002,CMV - Plásticos,Custos dos Produtos Vendidos,Despesa,CMV,CC-PLÁ,V002511,971.52
F0005023,2024-06-07,3.01.004,Receita de Vendas - Embalagens,Receitas Operacionais,Receita,Faturamento de Vendas,CC-EMB,V002512,1923.37
F0005024,2024-06-07,4.01.004,CMV - Embalagens,Custos dos Produtos Vendidos,Despesa,CMV,CC-EMB,V002512,1088.32
F0005025,2024-06-07,3.01.001,Receita de Vendas - Metalmecânica,Receitas Operacionais,Receita,Faturamento de Vendas,CC-MET,V002513,1529.29
F0005026,2024-06-07,4.01.001,CMV - Metalmecânica,Custos dos Produtos Vendidos,Despesa,CMV,CC-MET,V002513,851.55
F0005027,2024-06-07,3.01.003,Receita de Vendas - Eletrônicos,Receitas Operacionais,Receita,Faturamento de Vendas,CC-ELE,V002514,5017.9
F0005028,2024-06-07,4.01.003,CMV - Eletrônicos,Custos dos Produtos Vendidos,Despesa,CMV,CC-ELE,V002514,3130.44
F0005029,2024-06-07,3.01.005,Receita de Vendas - Químicos,Receitas Operacionais,Receita,Faturamento de Vendas,CC-QUÍ,V002515,1765.52
F0005030,2024-06-07,4.01.005,CMV - Químicos,Custos dos Produtos Vendidos,Despesa,CMV,CC-QUÍ,V002515,1106.08
F0005031,2024-06-07,3.01.005,Receita de Vendas - Químicos,Receitas Operacionais,Receita,Faturamento de Vendas,CC-QUÍ,V002516,1775.28
F0005032,2024-06-07,4.01.005,CMV - Químicos,Custos dos Produtos Vendidos,Despesa,CMV,CC-QUÍ,V002516,920.14
F0005033,2024-06-07,3.01.003,Receita de Vendas - Eletrônicos,Receitas Operacionais,Receita,Faturamento de Vendas,CC-ELE,V002517,4632.77
F0005034,2024-06-07,4.01.003,CMV - Eletrônicos,Custos dos Produtos Vendidos,Despesa,CMV,CC-ELE,V002517,2304.36
F0005035,2024-06-07,3.01.005,Receita de Vendas - Químicos,Receitas Operacionais,Receita,Faturamento de Vendas,CC-QUÍ,V002518,230.0
F0005036,2024-06-07,4.01.005,CMV - Químicos,Custos dos Produtos Vendidos,Despesa,CMV,CC-QUÍ,V002518,133.06
F0005037,2024-06-07,3.01.004,Receita de Vendas - Embalagens,Receitas Operacionais,Receita,Faturamento de Vendas,CC-EMB,V002519,2861.39
F0005038,2024-06-07,4.01.004,CMV - Embalagens,Custos dos Produtos Vendidos,Despesa,CMV,CC-EMB,V002519,1452.63
F0005039,2024-06-07,3.01.005,Receita de Vendas - Químicos,Receitas Operacionais,Receita,Faturamento de Vendas,CC-QUÍ,V002520,3458.73
F0005040,2024-06-07,4.01.005,CMV - Químicos,Custos dos Produtos Vendidos,Despesa,CMV,CC-QUÍ,V002520,1975.71
F0005041,2024-06-07,3.01.001,Receita de Vendas - Metalmecânica,Receitas Operacionais,Receita,Faturamento de Vendas,CC-MET,V002521,1151.04
F0005042,2024-06-07,4.01.001,CMV - Metalmecânica,Custos dos Produtos Vendidos,Despesa,CMV,CC-MET,V002521,655.68
F0005043,2024-06-07,3.01.003,Receita de Vendas - Eletrônicos,Receitas Operacionais,Receita,Faturamento de Vendas,CC-ELE,V002522,107.88
F0005044,2024-06-07,4.01.003,CMV - Eletrônicos,Custos dos Produtos Vendidos,Despesa,CMV,CC-ELE,V002522,58.14
F0005045,2024-06-07,3.01.005,Receita de Vendas - Químicos,Receitas Operacionais,Receita,Faturamento de Vendas,CC-QUÍ,V002523,422.76
F0005046,2024-06-07,4.01.005,CMV - Químicos,Custos dos Produtos Vendidos,Despesa,CMV,CC-QUÍ,V002523,237.9
F0005047,2024-06-07,3.01.004,Receita de Vendas - Embalagens,Receitas Operacionais,Receita,Faturamento de Vendas,CC-EMB,V002524,701.96
F0005048,2024-06-07,4.01.004,CMV - Embalagens,Custos dos Produtos Vendidos,Despesa,CMV,CC-EMB,V002524,402.85
F0005049,2024-06-07,3.01.004,Receita de Vendas - Embalagens,Receitas Operacionais,Receita,Faturamento de Vendas,CC-EMB,V002525,6170.19
F0005050,2024-06-07,4.01.004,CMV - Embalagens,Custos dos Produtos Vendidos,Despesa,CMV,CC-EMB,V002525,3724.89
F0005051,2024-06-07,3.01.002,Receita de Vendas - Plásticos,Receitas Operacionais,Receita,Faturamento de Vendas,CC-PLÁ,V002526,1800.44
