id_op,id_produto,quantidade_planejada,quantidade_produzida,data_inicio,status
OP002497,P0173,52,52,2024-04-04,Finalizada
OP002498,P0314,41,41,2024-10-16,Finalizada
OP002499,P0006,27,27,2025-12-25,Finalizada
OP002500,P0081,45,45,2026-01-19,Finalizada
OP002501,P0319,14,14,2024-02-29,Finalizada
OP002502,P0336,40,40,2025-05-23,Finalizada
OP002503,P0009,53,53,2025-06-27,Finalizada
OP002504,P0099,33,33,2025-08-20,Finalizada
OP002505,P0151,40,40,2025-01-30,Finalizada
OP002506,P0272,22,22,2025-12-12,Finalizada
OP002507,P0185,26,26,2024-02-09,Finalizada
OP002508,P0374,36,36,2025-07-05,Finalizada
OP002509,P0309,52,52,2024-05-29,Finalizada
OP002510,P0409,13,13,2024-08-30,Finalizada
OP002511,P0493,30,30,2024-02-14,Finalizada
OP002512,P0282,23,23,2024-05-17,Finalizada
OP002513,P0496,25,25,2025-12-24,Finalizada
OP002514,P0281,44,44,2025-10-28,Finalizada
OP002515,P0043,24,24,2025-10-17,Finalizada
OP002516,P0157,2,2,2025-12-03,Finalizada
OP002517,P0317,42,42,2024-11-13,Finalizada
OP002518,P0069,27,27,2025-04-16,Finalizada
OP002519,P0394,9,9,2026-03-23,Finalizada
OP002520,P0497,45,45,2024-08-13,Finalizada
OP002521,P0126,14,14,2025-06-30,Finalizada
OP002522,P0169,3,3,2025-07-03,Finalizada
OP002523,P0285,44,44,2024-04-04,Finalizada
OP002524,P0361,41,41,2025-09-04,Finalizada
OP002525,P0248,18,18,2026-03-25,Finalizada
OP002526,P0464,22,22,2024-05-10,Finalizada
OP002527,P0173,24,24,2026-05-04,Finalizada
OP002528,P0467,8,8,2025-12-26,Finalizada
OP002529,P0094,31,31,2025-11-18,Finalizada
OP002530,P0063,37,37,2026-01-06,Finalizada
OP002531,P0422,28,28,2026-02-05,Finalizada
OP002532,P0273,3,3,2025-12-29,Finalizada
OP002533,P0059,52,52,2024-08-05,Finalizada
OP002534,P0247,14,14,2025-07-22,Finalizada
OP002535,P0343,35,35,2025-08-15,Finalizada
OP002536,P0110,5,5,2026-03-04,Finalizada
OP002537,P0344,4,4,2024-01-17,Finalizada
OP002538,P0238,38,38,2024-03-29,Finalizada
OP002539,P0392,42,42,2026-01-13,Finalizada
OP002540,P0065,24,24,2025-10-13,Finalizada
OP002541,P0341,38,38,2026-05-18,Finalizada
OP002542,P0167,33,33,2025-06-06,Finalizada
OP002543,P0373,1,1,2025-12-30,Finalizada
OP002544,P0245,42,42,2025-10-20,Finalizada
OP002545,P0204,41,41,2025-01-23,Finalizada
OP002546,P0457,25,25,2025-12-25,Finalizada
OP002547,P0174,20,20,2025-12-15,Finalizada
OP002548,P0246,9,9,2026-04-10,Finalizada
OP002549,P0169,51,51,2026-04-30,Finalizada
OP002550,P0214,28,28,2025-07-29,Finalizada
OP002551,P0066,5,5,2026-03-30,Finalizada
OP002552,P0315,22,22,2024-08-29,Finalizada
OP002553,P0271,46,46,2024-03-11,Finalizada
OP002554,P0272,28,28,2024-09-12,Finalizada
OP002555,P0352,45,45,2025-04-01,Finalizada
OP002556,P0081,11,11,2024-09-17,Finalizada
OP002557,P0047,8,8,2025-12-05,Finalizada
OP002558,P0120,50,50,2026-03-02,Finalizada
OP002559,P0280,6,6,2024-12-13,Finalizada
OP002560,P0191,40,40,2025-06-18,Finalizada
OP002561,P0164,25,25,2024-01-29,Finalizada
OP002562,P0232,41,41,2025-09-23,Finalizada
OP002563,P0340,31,31,2025-07-08,Finalizada
OP002564,P0294,48,48,2025-02-04,Finalizada
OP002565,P0446,15,15,2024-05-01,Finalizada
OP002566,P0132,33,33,2024-06-19,Finalizada
OP002567,P0427,25,25,2025-12-11,Finalizada
OP002568,P0223,8,8,2024-08-13,Finalizada
OP002569,P0446,17,17,2026-01-02,Finalizada
OP002570,P0140,49,49,2024-12-31,Finalizada
OP002571,P0441,7,7,2025-12-29,Finalizada
OP002572,P0093,26,26,2024-08-02,Finalizada
OP002573,P0389,51,51,2024-01-29,Finalizada
OP002574,P0324,53,53,2024-07-31,Finalizada
OP002575,P0294,17,17,2025-09-01,Finalizada
OP002576,P0105,23,23,2025-11-26,Finalizada
OP002577,P0385,26,26,2026-03-09,Finalizada
OP002578,P0013,15,15,2024-11-12,Finalizada
OP002579,P0213,9,9,2025-01-03,Finalizada
OP002580,P0432,53,53,2025-10-07,Finalizada
OP002581,P0302,19,19,2025-04-12,Finalizada
OP002582,P0069,42,42,2026-05-15,Finalizada
OP002583,P0155,53,53,2024-04-15,Finalizada
OP002584,P0471,22,22,2025-12-24,Finalizada
OP002585,P0377,12,12,2026-03-13,Finalizada
OP002586,P0319,16,16,2025-09-10,Finalizada
OP002587,P0407,2,2,2025-03-14,Finalizada
OP002588,P0452,51,51,2025-10-15,Finalizada
OP002589,P0352,13,13,2024-03-15,Finalizada
OP002590,P0017,52,52,2025-01-02,Finalizada
OP002591,P0410,11,11,2025-10-08,Finalizada
OP002592,P0371,11,11,2026-03-14,Finalizada
OP002593,P0296,28,28,2026-04-28,Finalizada
OP002594,P0428,45,45,2024-06-06,Finalizada
OP002595,P0096,27,27,2025-11-01,Finalizada
OP002596,P0062,18,18,2025-01-24,Finalizada
OP002597,P0087,41,41,2024-08-29,Finalizada
OP002598,P0262,15,15,2025-06-04,Finalizada
OP002599,P0231,35,35,2025-03-14,Finalizada
OP002600,P0100,8,8,2025-04-14,Finalizada
OP002601,P0183,48,48,2025-08-03,Finalizada
OP002602,P0293,16,16,2025-12-08,Finalizada
OP002603,P0457,34,34,2024-04-25,Finalizada
OP002604,P0081,33,33,2025-04-15,Finalizada
OP002605,P0337,48,48,2024-03-09,Finalizada
OP002606,P0374,18,18,2025-02-06,Finalizada
OP002607,P0043,31,31,2024-06-21,Finalizada
OP002608,P0443,48,48,2026-02-24,Finalizada
OP002609,P0447,27,27,2024-03-12,Finalizada
OP002610,P0376,42,42,2024-01-10,Finalizada
OP002611,P0274,29,29,2024-12-23,Finalizada
OP002612,P0369,47,47,2025-08-26,Finalizada
OP002613,P0131,37,37,2026-03-18,Finalizada
OP002614,P0222,29,29,2025-11-07,Finalizada
OP002615,P0053,25,25,2025-06-10,Finalizada
OP002616,P0224,30,30,2025-06-18,Finalizada
OP002617,P0080,42,42,2025-05-19,Finalizada
OP002618,P0348,53,53,2024-10-15,Finalizada
OP002619,P0328,4,4,2025-09-15,Finalizada
OP002620,P0456,52,52,2025-09-19,Finalizada
OP002621,P0099,36,36,2024-10-17,Finalizada
OP002622,P0146,29,29,2024-04-30,Finalizada
OP002623,P0498,4,4,2024-01-09,Finalizada
OP002624,P0200,33,33,2024-03-07,Finalizada
OP002625,P0022,49,49,2025-11-13,Finalizada
OP002626,P0222,41,41,2025-09-04,Finalizada
OP002627,P0320,50,50,2025-03-11,Finalizada
OP002628,P0273,24,24,2026-04-10,Finalizada
OP002629,P0275,40,40,2025-04-13,Finalizada
OP002630,P0174,15,15,2025-09-18,Finalizada
OP002631,P0142,3,3,2024-07-25,Finalizada
OP002632,P0057,44,44,2024-04-28,Finalizada
OP002633,P0354,49,49,2025-07-18,Finalizada
OP002634,P0089,2,2,2025-04-30,Finalizada
OP002635,P0318,14,14,2025-01-03,Finalizada
OP002636,P0480,20,20,2025-03-24,Finalizada
OP002637,P0146,36,36,2024-05-14,Finalizada
OP002638,P0353,41,41,2026-05-06,Finalizada
OP002639,P0346,52,52,2025-11-07,Finalizada
OP002640,P0327,8,8,2025-11-07,Finalizada
OP002641,P0313,9,9,2024-06-08,Finalizada
OP002642,P0445,30,30,2025-11-20,Finalizada
OP002643,P0338,33,33,2024-07-17,Finalizada
OP002644,P0205,42,42,2025-11-13,Finalizada
OP002645,P0465,42,42,2026-03-15,Finalizada
OP002646,P0390,52,52,2025-11-13,Finalizada
OP002647,P0476,18,18,2024-11-08,Finalizada
OP002648,P0487,46,46,2024-08-23,Finalizada
OP002649,P0120,47,47,2025-12-16,Finalizada
OP002650,P0113,41,41,2025-02-20,Finalizada
OP002651,P0132,47,47,2025-06-02,Finalizada
OP002652,P0432,6,6,2025-09-11,Finalizada
OP002653,P0494,12,12,2024-05-28,Finalizada
OP002654,P0327,17,17,2025-08-12,Finalizada
OP002655,P0230,42,42,2025-01-21,Finalizada
OP002656,P0286,45,45,2025-04-21,Finalizada
OP002657,P0153,28,28,2025-08-29,Finalizada
OP002658,P0442,44,44,2026-03-02,Finalizada
OP002659,P0043,25,25,2024-02-12,Finalizada
OP002660,P0134,18,18,2025-08-21,Finalizada
OP002661,P0155,29,29,2025-12-05,Finalizada
OP002662,P0006,8,8,2024-04-04,Finalizada
OP002663,P0223,47,47,2025-02-18,Finalizada
OP002664,P0195,35,35,2024-11-04,Finalizada
OP002665,P0465,14,14,2024-08-14,Finalizada
OP002666,P0158,2,2,2026-02-11,Finalizada
OP002667,P0369,16,16,2024-03-26,Finalizada
OP002668,P0215,1,1,2026-02-09,Finalizada
OP002669,P0273,53,53,2026-03-09,Finalizada
OP002670,P0078,15,15,2024-03-08,Finalizada
OP002671,P0005,27,27,2024-07-14,Finalizada
OP002672,P0410,53,53,2024-06-10,Finalizada
OP002673,P0134,19,19,2024-12-02,Finalizada
OP002674,P0368,49,49,2025-07-22,Finalizada
OP002675,P0030,2,2,2025-08-11,Finalizada
OP002676,P0290,11,11,2025-02-01,Finalizada
OP002677,P0351,19,19,2025-12-09,Finalizada
OP002678,P0450,12,12,2025-07-08,Finalizada
OP002679,P0458,41,41,2025-10-20,Finalizada
OP002680,P0112,8,8,2025-01-03,Finalizada
OP002681,P0146,50,50,2024-12-27,Finalizada
OP002682,P0026,44,44,2024-08-11,Finalizada
OP002683,P0468,7,7,2025-06-05,Finalizada
OP002684,P0146,40,40,2024-02-01,Finalizada
OP002685,P0429,14,14,2025-06-13,Finalizada
OP002686,P0457,39,39,2024-03-23,Finalizada
OP002687,P0202,45,45,2024-06-11,Finalizada
OP002688,P0039,9,9,2024-11-20,Finalizada
OP002689,P0443,52,52,2025-07-16,Finalizada
OP002690,P0037,15,15,2025-11-06,Finalizada
OP002691,P0208,9,9,2025-08-18,Finalizada
OP002692,P0045,16,16,2026-02-22,Finalizada
OP002693,P0193,5,5,2024-12-01,Finalizada
OP002694,P0288,35,35,2025-09-19,Finalizada
OP002695,P0294,16,16,2024-02-23,Finalizada
OP002696,P0294,1,1,2026-05-05,Finalizada
OP002697,P0251,2,2,2025-07-09,Finalizada
OP002698,P0468,41,41,2024-07-25,Finalizada
OP002699,P0218,30,30,2024-12-31,Finalizada
OP002700,P0372,28,28,2024-03-15,Finalizada
OP002701,P0255,28,28,2025-09-26,Finalizada
OP002702,P0113,35,35,2026-05-15,Finalizada
OP002703,P0166,38,38,2025-11-13,Finalizada
OP002704,P0435,5,5,2024-12-13,Finalizada
OP002705,P0084,31,31,2024-10-10,Finalizada
OP002706,P0411,12,12,2025-12-05,Finalizada
OP002707,P0024,29,29,2026-03-30,Finalizada
OP002708,P0379,47,47,2026-04-22,Finalizada
OP002709,P0189,41,41,2025-10-27,Finalizada
OP002710,P0189,17,17,2026-04-23,Finalizada
OP002711,P0002,53,53,2026-02-04,Finalizada
OP002712,P0432,6,6,2024-11-07,Finalizada
OP002713,P0142,8,8,2025-06-05,Finalizada
OP002714,P0128,8,8,2024-02-27,Finalizada
OP002715,P0109,51,51,2025-05-08,Finalizada
OP002716,P0253,3,3,2026-02-09,Finalizada
OP002717,P0250,38,38,2025-01-06,Finalizada
OP002718,P0193,48,48,2026-05-07,Finalizada
OP002719,P0147,50,50,2025-04-04,Finalizada
OP002720,P0089,27,27,2025-01-29,Finalizada
OP002721,P0381,9,9,2025-02-25,Finalizada
OP002722,P0429,52,52,2025-04-21,Finalizada
OP002723,P0497,40,40,2024-11-18,Finalizada
OP002724,P0128,44,44,2025-06-12,Finalizada
OP002725,P0094,41,41,2026-01-14,Finalizada
OP002726,P0155,52,52,2025-05-05,Finalizada
OP002727,P0051,15,15,2024-02-26,Finalizada
OP002728,P0146,7,7,2025-02-13,Finalizada
OP002729,P0498,50,50,2024-12-24,Finalizada
OP002730,P0110,44,44,2024-02-26,Finalizada
OP002731,P0292,52,52,2024-09-17,Finalizada
OP002732,P0317,5,5,2025-12-21,Finalizada
OP002733,P0271,41,41,2025-07-01,Finalizada
OP002734,P0237,31,31,2025-11-14,Finalizada
OP002735,P0205,36,36,2025-08-17,Finalizada
OP002736,P0449,53,53,2025-11-18,Finalizada
OP002737,P0083,13,13,2025-11-04,Finalizada
OP002738,P0466,3,3,2025-05-15,Finalizada
OP002739,P0388,5,5,2025-04-07,Finalizada
OP002740,P0088,41,41,2025-03-19,Finalizada
OP002741,P0085,25,25,2026-02-09,Finalizada
OP002742,P0430,48,48,2025-12-24,Finalizada
OP002743,P0394,2,2,2025-12-08,Finalizada
OP002744,P0183,2,2,2025-10-01,Finalizada
OP002745,P0228,53,53,2025-02-14,Finalizada
OP002746,P0469,47,47,2025-09-02,Finalizada
OP002747,P0235,4,4,2026-03-23,Finalizada
OP002748,P0443,46,46,2025-06-26,Finalizada
OP002749,P0413,53,53,2024-01-01,Finalizada
OP002750,P0336,17,17,2026-03-31,Finalizada
OP002751,P0181,41,41,2025-05-12,Finalizada
OP002752,P0072,6,6,2025-12-08,Finalizada
OP002753,P0331,29,29,2024-06-03,Finalizada
OP002754,P0095,31,31,2024-02-12,Finalizada
OP002755,P0478,52,52,2025-02-09,Finalizada
OP002756,P0197,33,33,2025-11-05,Finalizada
OP002757,P0027,13,13,2024-05-21,Finalizada
OP002758,P0417,17,17,2024-08-02,Finalizada
OP002759,P0228,28,28,2026-02-05,Finalizada
OP002760,P0358,42,42,2025-07-24,Finalizada
OP002761,P0198,30,30,2026-02-06,Finalizada
OP002762,P0330,2,2,2024-08-17,Finalizada
OP002763,P0022,9,9,2026-04-09,Finalizada
OP002764,P0086,53,53,2025-10-20,Finalizada
OP002765,P0235,42,42,2025-04-30,Finalizada
OP002766,P0195,47,47,2025-03-27,Finalizada
OP002767,P0477,45,45,2025-12-18,Finalizada
OP002768,P0092,5,5,2024-03-28,Finalizada
OP002769,P0313,51,51,2025-05-13,Finalizada
OP002770,P0205,25,25,2026-03-03,Finalizada
OP002771,P0146,25,25,2026-02-05,Finalizada
OP002772,P0165,46,46,2026-04-22,Finalizada
OP002773,P0278,17,17,2026-04-21,Finalizada
OP002774,P0456,29,29,2025-01-15,Finalizada
OP002775,P0373,13,13,2025-05-23,Finalizada
OP002776,P0456,28,28,2025-01-27,Finalizada
OP002777,P0248,37,37,2024-04-09,Finalizada
OP002778,P0141,27,27,2024-05-15,Finalizada
OP002779,P0357,25,25,2026-03-16,Finalizada
OP002780,P0395,48,48,2025-05-24,Finalizada
OP002781,P0048,1,1,2024-02-26,Finalizada
OP002782,P0243,35,35,2025-01-03,Finalizada
OP002783,P0249,13,13,2025-11-10,Finalizada
OP002784,P0235,22,22,2026-03-30,Finalizada
OP002785,P0169,2,2,2025-04-25,Finalizada
OP002786,P0396,15,15,2025-09-04,Finalizada
OP002787,P0172,23,23,2025-12-02,Finalizada
OP002788,P0137,14,14,2025-01-24,Finalizada
OP002789,P0195,20,20,2026-01-11,Finalizada
OP002790,P0285,48,48,2026-03-10,Finalizada
OP002791,P0086,13,13,2025-03-18,Finalizada
OP002792,P0332,22,22,2025-02-04,Finalizada
OP002793,P0407,23,23,2025-11-18,Finalizada
OP002794,P0307,15,15,2025-12-04,Finalizada
OP002795,P0100,6,6,2024-04-08,Finalizada
OP002796,P0216,35,35,2025-11-20,Finalizada
OP002797,P0013,6,6,2026-04-14,Finalizada
OP002798,P0470,20,20,2025-07-09,Finalizada
OP002799,P0408,1,1,2025-03-24,Finalizada
OP002800,P0142,26,26,2024-11-20,Finalizada
OP002801,P0390,40,40,2026-02-09,Finalizada
OP002802,P0335,39,39,2026-01-28,Finalizada
OP002803,P0493,41,41,2025-08-11,Finalizada
OP002804,P0033,12,12,2026-01-14,Finalizada
OP002805,P0133,46,46,2024-09-05,Finalizada
OP002806,P0435,23,23,2025-11-05,Finalizada
OP002807,P0157,27,27,2024-10-31,Finalizada
OP002808,P0207,35,35,2025-11-04,Finalizada
OP002809,P0316,1,1,2025-11-06,Finalizada
OP002810,P0424,44,44,2026-04-12,Finalizada
OP002811,P0301,39,39,2024-12-03,Finalizada
OP002812,P0110,24,24,2026-03-27,Finalizada
OP002813,P0398,45,45,2026-03-18,Finalizada
OP002814,P0453,24,24,2025-10-29,Finalizada
OP002815,P0093,17,17,2025-11-24,Finalizada
OP002816,P0322,18,18,2026-01-27,Finalizada
OP002817,P0464,48,48,2025-04-14,Finalizada
OP002818,P0479,20,20,2025-12-02,Finalizada
OP002819,P0115,41,41,2025-05-14,Finalizada
OP002820,P0010,38,38,2024-04-02,Finalizada
OP002821,P0153,15,15,2025-11-28,Finalizada
OP002822,P0056,34,34,2025-09-19,Finalizada
OP002823,P0500,37,37,2025-01-30,Finalizada
OP002824,P0075,12,12,2025-02-21,Finalizada
OP002825,P0319,6,6,2024-01-08,Finalizada
OP002826,P0364,14,14,2024-07-07,Finalizada
OP002827,P0250,41,41,2024-12-31,Finalizada
OP002828,P0166,28,28,2024-02-13,Finalizada
OP002829,P0016,49,49,2025-12-31,Finalizada
OP002830,P0476,7,7,2026-03-17,Finalizada
OP002831,P0427,44,44,2024-09-09,Finalizada
OP002832,P0238,6,6,2025-11-14,Finalizada
OP002833,P0280,2,2,2026-05-13,Finalizada
OP002834,P0444,38,38,2025-03-20,Finalizada
OP002835,P0362,4,4,2026-02-06,Finalizada
OP002836,P0464,31,31,2024-06-15,Finalizada
OP002837,P0173,49,49,2024-10-22,Finalizada
OP002838,P0213,35,35,2026-04-03,Finalizada
OP002839,P0061,52,52,2024-02-05,Finalizada
OP002840,P0480,9,9,2024-12-02,Finalizada
OP002841,P0215,48,48,2025-09-19,Finalizada
OP002842,P0450,40,40,2024-05-16,Finalizada
OP002843,P0451,39,39,2026-05-08,Finalizada
OP002844,P0007,34,34,2026-04-20,Finalizada
OP002845,P0312,37,37,2024-12-11,Finalizada
OP002846,P0303,35,35,2024-09-03,Finalizada
OP002847,P0086,31,31,2026-03-03,Finalizada
OP002848,P0108,26,26,2024-10-17,Finalizada
OP002849,P0257,46,46,2026-02-03,Finalizada
OP002850,P0428,53,53,2025-08-26,Finalizada
OP002851,P0371,44,44,2025-08-26,Finalizada
OP002852,P0459,53,53,2025-03-17,Finalizada
OP002853,P0055,47,47,2025-03-25,Finalizada
OP002854,P0076,14,14,2024-11-28,Finalizada
OP002855,P0029,28,28,2024-12-06,Finalizada
OP002856,P0140,39,39,2024-02-01,Finalizada
OP002857,P0438,45,45,2026-04-01,Finalizada
OP002858,P0247,39,39,2025-01-03,Finalizada
OP002859,P0018,33,33,2026-01-01,Finalizada
OP002860,P0231,8,8,2024-12-10,Finalizada
OP002861,P0340,5,5,2025-07-04,Finalizada
OP002862,P0399,33,33,2026-04-06,Finalizada
OP002863,P0372,50,50,2026-03-24,Finalizada
OP002864,P0372,16,16,2024-11-16,Finalizada
OP002865,P0489,34,34,2025-10-22,Finalizada
OP002866,P0259,30,30,2025-07-20,Finalizada
OP002867,P0169,38,38,2026-03-10,Finalizada
OP002868,P0423,14,14,2024-08-26,Finalizada
OP002869,P0052,29,29,2026-01-26,Finalizada
OP002870,P0415,4,4,2026-03-10,Finalizada
OP002871,P0244,46,46,2024-04-02,Finalizada
OP002872,P0376,17,17,2024-06-13,Finalizada
OP002873,P0378,29,29,2024-04-27,Finalizada
OP002874,P0168,53,53,2025-11-12,Finalizada
OP002875,P0492,15,15,2026-02-19,Finalizada
OP002876,P0453,45,45,2024-02-12,Finalizada
OP002877,P0158,9,9,2026-03-12,Finalizada
OP002878,P0447,7,7,2024-06-26,Finalizada
OP002879,P0123,5,5,2025-04-21,Finalizada
OP002880,P0244,8,8,2024-10-23,Finalizada
OP002881,P0390,49,49,2024-05-14,Finalizada
OP002882,P0143,44,44,2024-10-23,Finalizada
OP002883,P0397,42,42,2025-03-27,Finalizada
OP002884,P0192,53,53,2026-05-10,Finalizada
OP002885,P0458,12,12,2025-09-25,Finalizada
OP002886,P0128,8,8,2024-07-26,Finalizada
OP002887,P0049,52,52,2024-12-11,Finalizada
OP002888,P0022,26,26,2024-12-20,Finalizada
OP002889,P0120,37,37,2025-01-03,Finalizada
OP002890,P0154,45,45,2024-07-26,Finalizada
OP002891,P0142,45,45,2024-11-14,Finalizada
OP002892,P0394,42,42,2024-10-07,Finalizada
OP002893,P0017,50,50,2025-07-08,Finalizada
OP002894,P0194,27,27,2024-04-21,Finalizada
OP002895,P0335,3,3,2025-03-18,Finalizada
OP002896,P0139,6,6,2026-03-14,Finalizada
OP002897,P0486,44,44,2025-11-27,Finalizada
OP002898,P0246,41,41,2026-03-26,Finalizada
OP002899,P0043,8,8,2025-06-02,Finalizada
OP002900,P0271,6,6,2025-10-17,Finalizada
OP002901,P0247,5,5,2026-03-19,Finalizada
OP002902,P0461,27,27,2025-07-23,Finalizada
OP002903,P0179,47,47,2026-03-22,Finalizada
OP002904,P0357,50,50,2025-08-12,Finalizada
OP002905,P0144,36,36,2024-07-10,Finalizada
OP002906,P0312,4,4,2026-03-27,Finalizada
OP002907,P0438,17,17,2025-04-25,Finalizada
OP002908,P0463,38,38,2024-12-24,Finalizada
OP002909,P0467,44,44,2024-09-19,Finalizada
OP002910,P0274,47,47,2026-01-06,Finalizada
OP002911,P0016,19,19,2025-08-19,Finalizada
OP002912,P0116,16,16,2024-02-07,Finalizada
OP002913,P0449,20,20,2026-02-10,Finalizada
OP002914,P0178,12,12,2025-11-17,Finalizada
OP002915,P0403,7,7,2025-06-25,Finalizada
OP002916,P0032,25,25,2025-09-28,Finalizada
OP002917,P0477,38,38,2025-10-29,Finalizada
OP002918,P0279,7,7,2026-03-26,Finalizada
OP002919,P0060,19,19,2024-09-17,Finalizada
OP002920,P0343,35,35,2025-09-05,Finalizada
OP002921,P0107,47,47,2024-08-08,Finalizada
OP002922,P0170,29,29,2026-01-23,Finalizada
OP002923,P0220,26,26,2024-05-01,Finalizada
OP002924,P0373,26,26,2024-04-17,Finalizada
OP002925,P0131,24,24,2024-11-20,Finalizada
OP002926,P0260,52,52,2024-07-11,Finalizada
OP002927,P0274,46,46,2026-01-08,Finalizada
OP002928,P0322,53,53,2025-09-12,Finalizada
OP002929,P0316,23,23,2025-07-22,Finalizada
OP002930,P0266,52,52,2025-03-24,Finalizada
OP002931,P0110,12,12,2026-02-03,Finalizada
OP002932,P0267,52,52,2025-03-02,Finalizada
OP002933,P0121,39,39,2024-12-11,Finalizada
OP002934,P0493,36,36,2024-10-21,Finalizada
OP002935,P0402,36,36,2025-08-09,Finalizada
OP002936,P0059,53,53,2025-12-17,Finalizada
OP002937,P0149,31,31,2025-06-03,Finalizada
OP002938,P0294,1,1,2025-09-10,Finalizada
OP002939,P0497,18,18,2025-11-19,Finalizada
OP002940,P0118,7,7,2026-04-09,Finalizada
OP002941,P0038,5,5,2025-03-13,Finalizada
OP002942,P0221,51,51,2026-04-10,Finalizada
OP002943,P0010,42,42,2024-04-24,Finalizada
OP002944,P0028,50,50,2024-02-28,Finalizada
OP002945,P0007,29,29,2026-03-27,Finalizada
OP002946,P0251,52,52,2025-07-18,Finalizada
OP002947,P0233,1,1,2025-06-25,Finalizada
OP002948,P0256,16,16,2025-07-16,Finalizada
OP002949,P0207,53,53,2026-04-10,Finalizada
OP002950,P0222,53,53,2025-04-09,Finalizada
OP002951,P0170,40,40,2025-12-01,Finalizada
OP002952,P0323,22,22,2025-12-13,Finalizada
OP002953,P0467,4,4,2025-12-23,Finalizada
OP002954,P0451,1,1,2025-03-24,Finalizada
OP002955,P0399,38,38,2024-12-19,Finalizada
OP002956,P0070,18,18,2024-12-19,Finalizada
OP002957,P0327,14,14,2025-07-28,Finalizada
OP002958,P0192,48,48,2024-06-28,Finalizada
OP002959,P0301,40,40,2025-12-02,Finalizada
OP002960,P0005,37,37,2024-10-19,Finalizada
OP002961,P0100,53,53,2026-03-17,Finalizada
OP002962,P0037,8,8,2026-02-23,Finalizada
OP002963,P0247,37,37,2025-12-05,Finalizada
OP002964,P0459,22,22,2025-12-16,Finalizada
OP002965,P0431,5,5,2024-11-28,Finalizada
OP002966,P0242,38,38,2025-04-30,Finalizada
OP002967,P0484,18,18,2025-06-19,Finalizada
OP002968,P0423,13,13,2024-01-16,Finalizada
OP002969,P0234,45,45,2025-04-28,Finalizada
OP002970,P0117,18,18,2025-01-09,Finalizada
OP002971,P0265,11,11,2025-02-25,Finalizada
OP002972,P0452,38,38,2024-03-12,Finalizada
OP002973,P0334,37,37,2024-03-22,Finalizada
OP002974,P0125,15,15,2025-05-19,Finalizada
OP002975,P0165,9,9,2026-02-09,Finalizada
OP002976,P0281,1,1,2024-12-07,Finalizada
OP002977,P0500,11,11,2024-02-22,Finalizada
OP002978,P0407,51,51,2026-02-13,Finalizada
OP002979,P0195,44,44,2026-03-18,Finalizada
OP002980,P0029,40,40,2024-02-27,Finalizada
OP002981,P0306,9,9,2025-09-18,Finalizada
OP002982,P0116,47,47,2025-03-07,Finalizada
OP002983,P0441,18,18,2024-10-10,Finalizada
OP002984,P0325,40,40,2025-01-07,Finalizada
OP002985,P0407,38,38,2026-03-18,Finalizada
OP002986,P0262,8,8,2025-02-24,Finalizada
OP002987,P0297,48,48,2026-03-10,Finalizada
OP002988,P0182,9,9,2024-12-16,Finalizada
OP002989,P0191,48,48,2025-05-07,Finalizada
OP002990,P0471,6,6,2025-06-17,Finalizada
OP002991,P0002,48,48,2026-03-26,Finalizada
OP002992,P0306,12,12,2025-10-28,Finalizada
OP002993,P0477,44,44,2024-01-18,Finalizada
OP002994,P0203,11,11,2025-12-31,Finalizada
OP002995,P0190,28,28,2025-04-10,Finalizada
OP002996,P0320,17,17,2025-07-06,Finalizada
OP002997,P0488,3,3,2025-10-22,Finalizada
OP002998,P0077,26,26,2025-01-24,Finalizada
OP002999,P0225,20,20,2024-04-01,Finalizada
OP003000,P0222,27,27,2025-11-14,Finalizada
OP003001,P0462,33,33,2024-01-29,Finalizada
OP003002,P0344,53,53,2025-06-03,Finalizada
OP003003,P0400,42,42,2024-07-07,Finalizada
OP003004,P0406,12,12,2024-10-31,Finalizada
OP003005,P0292,30,30,2025-05-16,Finalizada
OP003006,P0367,48,48,2026-04-08,Finalizada
OP003007,P0399,17,17,2024-04-24,Finalizada
OP003008,P0473,4,4,2024-01-05,Finalizada
OP003009,P0029,45,45,2026-04-05,Finalizada
OP003010,P0159,16,16,2024-03-11,Finalizada
OP003011,P0246,1,1,2025-07-17,Finalizada
OP003012,P0042,17,17,2025-12-12,Finalizada
OP003013,P0287,48,48,2024-07-08,Finalizada
OP003014,P0088,1,1,2024-06-12,Finalizada
OP003015,P0359,38,38,2025-04-22,Finalizada
OP003016,P0045,5,5,2025-04-16,Finalizada
OP003017,P0195,33,33,2025-05-04,Finalizada
OP003018,P0089,48,48,2025-07-21,Finalizada
OP003019,P0321,36,36,2025-11-28,Finalizada
OP003020,P0115,1,1,2026-05-22,Finalizada
OP003021,P0248,39,39,2024-11-20,Finalizada
OP003022,P0314,9,9,2025-12-09,Finalizada
OP003023,P0297,24,24,2025-09-17,Finalizada
OP003024,P0453,11,11,2025-04-30,Finalizada
OP003025,P0471,17,17,2025-08-11,Finalizada
OP003026,P0060,50,50,2024-03-18,Finalizada
OP003027,P0221,39,39,2024-09-19,Finalizada
OP003028,P0263,20,20,2025-12-08,Finalizada
OP003029,P0488,9,9,2025-05-23,Finalizada
OP003030,P0430,36,36,2025-06-13,Finalizada
OP003031,P0468,52,52,2025-12-30,Finalizada
OP003032,P0080,14,14,2024-08-09,Finalizada
OP003033,P0088,5,5,2026-02-16,Finalizada
